SMILES,Molecule Name,Log_HLM_CLint
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,E-0001321,1.7589118923979736
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0001780,2.2079035303860515
CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,E-0002019,1.021189299069938
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002269,1.2988530764097066
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,E-0002284,1.2013971243204515
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,E-0002290,1.2041199826559248
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,E-0002377,2.3879234669734366
CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,E-0003046,0.9912260756924948
CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,E-0003079,0.9242792860618816
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,E-0003089,1.1818435879447726
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,E-0003090,1.2988530764097066
CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010021,1.0374264979406236
CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010022,1.2201080880400552
O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,E-0010025,1.0128372247051722
CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,E-0010059,1.0043213737826426
O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,E-0010060,1.7435097647284297
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,E-0010071,2.2415464805965484
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,E-0010120,1.2253092817258628
NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,E-0010121,2.094121595840561
Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,E-0010358,1.0681858617461617
Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010362,1.0681858617461617
Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,E-0010455,1.6739419986340878
CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010559,1.69810054562339
Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,E-0010562,1.1335389083702174
Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,E-0010567,1.1643528557844371
Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,E-0010569,1.2695129442179165
CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010578,1.136720567156407
COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,E-0010584,1.9623693356700207
COc1ccc2oc3c(C)c4ccncc4cc3c2c1,E-0010600,2.053462604925455
Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,E-0010607,1.294466226161593
Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,E-0010625,1.824125833916549
Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,E-0010662,1.4771212547196624
Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,E-0010676,1.667452952889954
Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,E-0010690,1.8715729355458788
CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010691,1.6242820958356683
Cc1c2ccncc2cc2c3cc(C(=O)NCCO)ccc3n(C)c12,E-0010712,1.2405492482825995
COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010713,1.6127838567197357
Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010727,1.1038037209559568
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,E-0010730,1.2201080880400552
Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,E-0010733,1.5314789170422551
CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,E-0010734,1.3521825181113625
Cc1c2ccncc2cc2c3cc(OCCN4CCC(O)CC4)ccc3n(C)c12,E-0010736,1.287801729930226
Cc1c2ccncc2cc2c3cc(OCCN4CCC(F)CC4)ccc3n(C)c12,E-0010737,1.4409090820652175
Cc1c2ccncc2cc2c3cc(OC[C@H](C)N(C)C)ccc3n(C)c12,E-0010738,1.1522883443830565
Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)NCC2,E-0010739,1.334453751150931
CN(C)CCOc1ccc2c(c1)c1cc3cnccc3cc1n2C,E-0010754,1.3117538610557542
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3c(OCCCN4CCN(C)CC4)cccc3n(C)c12,E-0010765,1.374748346010104
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3nc21,E-0010767,1.0863598306747482
Cc1c2ccncc2cc2c3cc(C#N)ccc3n(C)c12,E-0010768,2.138933940256924
Cn1c2ccc(OCC3=NCCN3)cc2c2cc3ccncc3nc21,E-0010772,1.4608978427565478
Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3nc21,E-0010776,1.3222192947339193
Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)N(C)CC2,E-0010812,1.1430148002540952
Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)cc(F)c3n(C)c12,E-0010922,1.1335389083702174
CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,E-0010975,1.4099331233312946
Cn1c2ccc(OCC(=N)N)cc2c2cc3ncccc3cc21,E-0010994,1.2227164711475833
COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,E-0011026,2.024485667699167
c1cc2cc3[nH]c4ccc(OCC5=NCCN5)cc4c3cc2cn1,E-0011079,1.376576957056512
CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,E-0011083,1.421603926869831
NC(=O)CN1C(=O)Cc2ccc(-c3ccccc3)cc21,E-0011122,1.1613680022349748
CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,E-0011133,1.334453751150931
CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,E-0011137,1.320146286111054
Cc1c2cnccc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,E-0011166,1.5365584425715302
Cc1c2ccncc2cc2c3cc(OCC[C@@H](C)N)ccc3n(C)c12,E-0011190,1.1760912590556811
COc1ccc2c(c1)c1cc(NC(=O)NCCN(C)C)nc(C)c1n2C,E-0011191,1.3617278360175928
NC(=O)CCN1C(=O)Cc2c1ccc1ccccc21,E-0011195,1.0253058652647702
Cc1c2ccncc2cc2c3cc(OCC[C@H](C)N)ccc3n(C)c12,E-0011210,1.2576785748691846
Cc1c2ccncc2cc2c3cc(OC[C@H](C)Nc4ccccn4)ccc3n(C)c12,E-0011211,2.1734776434529945
CC(=O)N[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011214,1.5024271199844328
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC(N)=O)ccc3n(C)c12,E-0011215,1.3304137733491908
NC(=O)Cn1ccc2ccc(-c3ccccc3)cc21,E-0011216,1.655138434811382
Cc1nc(NC(=O)NCCN(C)C)cc2c3cc(OCC(N)=O)ccc3n(C)c12,E-0011225,1.212187604403958
CCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011232,1.2148438480476975
COCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011233,1.2576785748691846
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NCC(F)F)ccc3n(C)c12,E-0011234,1.741939077729199
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N)ccc3n(C)c12,E-0011236,1.230448921378274
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN)ccc3n(C)c12,E-0011240,1.4608978427565478
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN)ccc3n(C)c12,E-0011242,1.230448921378274
Cn1c2ccc(OCC(N)=O)cc2c2cc(-c3ccccc3)ccc21,E-0011246,1.895422546039408
Cn1c2ccc(OCC(N)=O)cc2c2cc(-c3ccncc3)ccc21,E-0011248,1.3138672203691537
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N)ccc3n(C)c12,E-0011249,1.0569048513364727
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)O)ccc3n(C)c12,E-0011250,1.6354837468149122
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN(C)C)ccc3n(C)c12,E-0011251,1.4653828514484184
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)O)ccc3n(C)c12,E-0011252,1.60422605308447
C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011253,1.250420002308894
COC[C@H](C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011255,1.9698816437465
Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3nc21,E-0011256,1.383815365980431
Cc1nc(CCC(=O)Nc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,E-0011261,1.3673559210260189
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CO)ccc3n(C)c12,E-0011262,1.564666064252089
Cc1c2ccnc(C(=O)NCC(N)=O)c2cc2c3ccccc3n(C)c12,E-0011263,1.546542663478131
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CO)ccc3n(C)c12,E-0011264,1.6304278750250238
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccccc3n(C)c12,E-0011265,1.089905111439398
Cc1nc(CCCNc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,E-0011266,1.655138434811382
Cc1c2ccccc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,E-0011271,0.9867717342662448
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N(C)C)ccc3n(C)c12,E-0011277,1.1205739312058498
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN(C)C)ccc3n(C)c12,E-0011279,1.089905111439398
Cn1c2ccc(OCC(N)=O)cc2c2nc3ccccc3nc21,E-0011280,2.0842186867392387
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3ccccc3nc21,E-0011282,1.2695129442179165
CCN(CC)CCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011283,1.0453229787866574
Cc1c2ccncc2cc2c3cc(C(=O)NCC(N)=O)ccc3n(C)c12,E-0011285,1.252853030979893
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)C(N)=O)ccc3n(C)c12,E-0011286,1.276461804173244
Cc1c2ccccc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,E-0011287,1.3053513694466237
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)C(N)=O)ccc3n(C)c12,E-0011288,1.212187604403958
COC(C)(C)CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011289,2.011147360775797
CCN(CC)CCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011290,1.0718820073061257
Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3cc21,E-0011291,1.625312450961674
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3cc21,E-0011292,1.1139433523068367
Cn1c2ccc(C(=O)NCCO)cc2c2nc3ccccc3nc21,E-0011293,1.2671717284030135
COC1CCN(CCOc2ccc3c(c2)c2nc4cnccc4nc2n3C)CC1,E-0011294,1.307496037913213
Cn1c2ccc(OCCN3CCC(F)CC3)cc2c2nc3cnccc3nc21,E-0011295,1.6599162000698502
CN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011296,1.3364597338485296
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N(C)C)ccc3n(C)c12,E-0011297,1.2380461031287957
